layer_id,layer_name
0,1
1,102
2,2
3,21
4,210
5,211
6,212
7,22
8,225
9,23
10,24
11,25
12,261
13,262
14,27
15,29
16,3
17,30
18,301
19,302
20,303
21,305
22,31
23,32
24,33
25,35
26,36
27,37
28,38
29,4
30,401
31,41
32,42
33,420
34,43
35,44
36,48
37,500
38,501
39,502
40,503
41,505
42,506
43,507
44,512
45,57
46,58
47,59
48,6
49,600
50,601
51,628
52,640
53,641
54,700
55,70AST
56,71AST
57,721
58,72A
59,733
60,734
61,735
62,739
63,73AST
64,740
65,74AST
66,76AST
67,SEV
