layer_id,layer_name
0,107
1,155
2,194
3,211
4,211E
5,212
6,212E
7,222
8,222E
9,238
10,238E
11,241E
12,242
13,243
14,243E
15,244
16,244E
17,247
18,247E
19,248
20,248E
21,249
22,252
23,252E
24,253
25,255
26,255E
27,258
28,259
29,259E
30,260
31,43
32,NE1
33,SB28
34,SB29
35,SB36
36,SB36E
37,SB49
38,SB91
39,SB91
40,T3.1
41,TB241
42,TB247
43,TB248
44,TB252
45,TB253
46,U11
