layer_id,layer_name
0,102
1,11
2,119
3,12
4,13
5,14
6,15
7,1645
8,2
9,2 ALiTa
10,200
11,201
12,210
13,217
14,22
15,300
16,302
17,303
18,30S
19,31
20,310
21,310
22,315
23,315
24,32
25,3298
26,34
27,41
28,41 ALiTa
29,410
30,42
31,43
32,43 ALiTa
33,44
34,45
35,5
36,5 ALiTa
37,50
38,51
39,52
40,6
41,60S
42,61
43,62
44,71
45,72
46,740
47,741
48,742
49,743
50,744
51,745
52,765
53,767
54,780
55,790
56,792
57,8
58,81
59,9
60,90S
61,91
62,929
63,92S
64,F1
65,F2
